Zeilenbeschriftungen;Summe von CNC Length
Neuropeptide-Y-Regulates-Sleep-by-Modulating-Noradrenergic_2017_Current-Biol.txt;62
<Conclusion>;12
<Middle>;50
Nigrotectal-Stimulation-Stops-Interval-Timing-in-Mice_2017_Current-Biology.txt;54
<Conclusion>;15
<Intro>;12
<Middle>;27
Novel-Microbial-Diversity-and-Functional-Potential-in-the-Ma_2017_Current-Bi.txt;83
<Conclusion>;3
<Intro>;3
<Middle>;77
Operant-models-of-relapse-in-zebrafish--Danio-rerio---R_2017_Behavioural-Bra.txt;136
<Conclusion>;12
<Intro>;3
<Middle>;121
Origins-and-Specification-of-the-Drosophila-Wing_2017_Current-Biology.txt;57
<Conclusion>;12
<Intro>;3
<Middle>;42
Prefrontal-neuromodulation-reverses-spatial-associations-o_2017_Biological-P.txt;120
<Conclusion>;50
<Intro>;27
<Middle>;43
Real-time-changes-in-corticospinal-excitability-related-_2017_Behavioural-Br.txt;40
<Conclusion>;16
<Intro>;9
<Middle>;15
Reduced-hippocampal-IL-10-expression--altered-monoaminergic-a_2017_Behaviour.txt;64
<Conclusion>;12
<Intro>;9
<Middle>;43
Social-processing-in-early-adolescence--Associations-between_2017_Biological.txt;61
<Conclusion>;18
<Intro>;12
<Middle>;31
Stall-in-Canonical-Autophagy-Lysosome-Pathways-Prompts-Nucleop_2017_Current-.txt;65
<Conclusion>;18
<Intro>;7
<Middle>;40
Structural-hemispheric-asymmetries-underlie-verbal-_2017_Behavioural-Brain-R.txt;68
<Conclusion>;12
<Intro>;6
<Middle>;50
TDP-43-Promotes-Neurodegeneration-by-Impairing-Chromatin-R_2017_Current-Biol.txt;86
<Conclusion>;12
<Intro>;6
<Middle>;68
Temporal-dynamics-of-reward-anticipation-in-the-huma_2017_Biological-Psychol.txt;75
<Conclusion>;29
<Intro>;18
<Middle>;28
Tension-Dependent-Stretching-Activates-ZO-1-to-Control-the-Ju_2017_Current-B.txt;57
<Conclusion>;13
<Intro>;7
<Middle>;37
The-Plastid-Genome-in-Cladophorales-Green-Algae-Is-Encoded-b_2017_Current-Bi.txt;113
<Conclusion>;9
<Intro>;6
<Middle>;98
The-rat-retrosplenial-cortex-as-a-link-for-frontal-fu_2017_Behavioural-Brain.txt;121
<Conclusion>;21
<Intro>;12
<Middle>;88
Theta-Oscillations-in-the-Human-Medial-Temporal-Lobe-during-_2017_Current-Bi.txt;48
<Conclusion>;27
<Intro>;3
<Middle>;18
The-trait--pessimism--does-not-interact-with-cognitive-flexibi_2017_Behaviou.txt;75
<Conclusion>;32
<Intro>;9
<Middle>;34
Vagus-Motor-Neuron-Topographic-Map-Determined-by-Parallel-Mech_2017_Current-.txt;87
<Conclusion>;39
<Intro>;29
<Middle>;19
Venlafaxine-exerts-antidepressant-effects-possibly-by-acti_2017_Behavioural-.txt;92
<Conclusion>;44
<Intro>;13
<Middle>;35
Gesamtergebnis;4488
