	Subcorpus	Type of Article	Article	Teil	WordsN	NounsN
17	biology_intros		Blunted-neural-response-to-implicit-negative-facial-affe_2017_Biological-Psy.txt	<Conclusion>	1307.0	343.0
18	biology_intros		Boldness-psychopathic-traits-predict-reduced-gaze-toward-fe_2017_Biological-.txt	<Intro>	1234.0	342.0
19	biology_intros		Boldness-psychopathic-traits-predict-reduced-gaze-toward-fe_2017_Biological-.txt	<Middle>	3388.0	773.0
20	biology_intros		Boldness-psychopathic-traits-predict-reduced-gaze-toward-fe_2017_Biological-.txt	<Conclusion>	1787.0	506.0
21	biology_intros		Chronic-traumatic-stress-impairs-memory-in-mice--Potential-ro_2017_Behaviour.txt	<Intro>	493.0	165.0
22	biology_intros		Chronic-traumatic-stress-impairs-memory-in-mice--Potential-ro_2017_Behaviour.txt	<Middle>	2050.0	637.0
23	biology_intros		Chronic-traumatic-stress-impairs-memory-in-mice--Potential-ro_2017_Behaviour.txt	<Conclusion>	1336.0	431.0
24	biology_intros		Deficient-prepulse-inhibition-of-the-startle-reflex-in-sch_2017_Biological-P.txt	<Intro>	618.0	151.0
25	biology_intros		Deficient-prepulse-inhibition-of-the-startle-reflex-in-sch_2017_Biological-P.txt	<Middle>	1595.0	411.0
26	biology_intros		Deficient-prepulse-inhibition-of-the-startle-reflex-in-sch_2017_Biological-P.txt	<Conclusion>	949.0	213.0
27	biology_intros		Development-of-an-opioid-self-administration-assay-to-_2017_Behavioural-Brai.txt	<Intro>	728.0	221.0
28	biology_intros		Development-of-an-opioid-self-administration-assay-to-_2017_Behavioural-Brai.txt	<Middle>	3338.0	960.0
29	biology_intros		Development-of-an-opioid-self-administration-assay-to-_2017_Behavioural-Brai.txt	<Conclusion>	1746.0	509.0
30	biology_intros		Developmental-suppression-of-forebrain-trkA-receptors-and-_2017_Behavioural-.txt	<Intro>	651.0	191.0
31	biology_intros		Developmental-suppression-of-forebrain-trkA-receptors-and-_2017_Behavioural-.txt	<Middle>	4787.0	1452.0
32	biology_intros		Developmental-suppression-of-forebrain-trkA-receptors-and-_2017_Behavioural-.txt	<Conclusion>	1354.0	413.0
33	biology_intros		Differential-behavioral-effects-of-ethanol-pre-exposure-_2017_Behavioural-Br.txt	<Intro>	775.0	242.0
34	biology_intros		Differential-behavioral-effects-of-ethanol-pre-exposure-_2017_Behavioural-Br.txt	<Middle>	4129.0	1253.0
35	biology_intros		Differential-behavioral-effects-of-ethanol-pre-exposure-_2017_Behavioural-Br.txt	<Conclusion>	2223.0	728.0
36	biology_intros		Distraction-coping-predicts-better-cortisol-recovery-afte_2017_Biological-Ps.txt	<Intro>	1444.0	473.0
37	biology_intros		Distraction-coping-predicts-better-cortisol-recovery-afte_2017_Biological-Ps.txt	<Middle>	2337.0	663.0
38	biology_intros		Distraction-coping-predicts-better-cortisol-recovery-afte_2017_Biological-Ps.txt	<Conclusion>	1389.0	422.0
39	biology_intros		Dopaminergic-responses-in-the-core-part-of-the-nucleus-accumbe_2017_Behaviou.txt	<Intro>	1198.0	358.0
40	biology_intros		Dopaminergic-responses-in-the-core-part-of-the-nucleus-accumbe_2017_Behaviou.txt	<Middle>	2528.0	605.0
41	biology_intros		Dopaminergic-responses-in-the-core-part-of-the-nucleus-accumbe_2017_Behaviou.txt	<Conclusion>	2065.0	539.0
42	biology_intros		Effect-of-acute-and-subchronic-stress-on-electrical-activity-_2017_Behaviour.txt	<Intro>	440.0	135.0
43	biology_intros		Effect-of-acute-and-subchronic-stress-on-electrical-activity-_2017_Behaviour.txt	<Middle>	2053.0	613.0
44	biology_intros		Effect-of-acute-and-subchronic-stress-on-electrical-activity-_2017_Behaviour.txt	<Conclusion>	955.0	319.0
45	biology_intros		Effects-of-curcumin-on-short-term-spatial-and-recognition-mem_2017_Behaviour.txt	<Intro>	670.0	209.0
46	biology_intros		Effects-of-curcumin-on-short-term-spatial-and-recognition-mem_2017_Behaviour.txt	<Middle>	3593.0	1007.0
47	biology_intros		Effects-of-curcumin-on-short-term-spatial-and-recognition-mem_2017_Behaviour.txt	<Conclusion>	1585.0	503.0
48	biology_intros		Environmental-enrichment-protects-spatial-learning-and-hippo_2017_Behavioura.txt	<Intro>	813.0	228.0
49	biology_intros		Environmental-enrichment-protects-spatial-learning-and-hippo_2017_Behavioura.txt	<Middle>	2281.0	624.0
50	biology_intros		Environmental-enrichment-protects-spatial-learning-and-hippo_2017_Behavioura.txt	<Conclusion>	1668.0	488.0
51	biology_intros		Fbxl4-Serves-as-a-Clock-Output-Molecule-that-Regulates-Sleep-th_2017_Current.txt	<Intro>	374.0	120.0
52	biology_intros		Fbxl4-Serves-as-a-Clock-Output-Molecule-that-Regulates-Sleep-th_2017_Current.txt	<Middle>	2308.0	654.0
53	biology_intros		Fbxl4-Serves-as-a-Clock-Output-Molecule-that-Regulates-Sleep-th_2017_Current.txt	<Conclusion>	523.0	170.0
54	biology_intros		Games-people-play--How-video-games-improve-probabi_2017_Behavioural-Brain-Re.txt	<Intro>	751.0	222.0
55	biology_intros		Games-people-play--How-video-games-improve-probabi_2017_Behavioural-Brain-Re.txt	<Middle>	1682.0	476.0
56	biology_intros		Games-people-play--How-video-games-improve-probabi_2017_Behavioural-Brain-Re.txt	<Conclusion>	1448.0	476.0
57	biology_intros		Gene-by-cognition-interaction-on-stress-induced-attention-bi_2017_Biological.txt	<Intro>	0.0	0.0
58	biology_intros		Gene-by-cognition-interaction-on-stress-induced-attention-bi_2017_Biological.txt	<Middle>	4237.0	1149.0
59	biology_intros		Gene-by-cognition-interaction-on-stress-induced-attention-bi_2017_Biological.txt	<Conclusion>	1132.0	350.0
60	biology_intros		Genetic-and-Epigenetic-Strategies-Potentiate-Gal4-Activation-t_2017_Current-.txt	<Intro>	621.0	165.0
61	biology_intros		Genetic-and-Epigenetic-Strategies-Potentiate-Gal4-Activation-t_2017_Current-.txt	<Middle>	2679.0	666.0
62	biology_intros		Genetic-and-Epigenetic-Strategies-Potentiate-Gal4-Activation-t_2017_Current-.txt	<Conclusion>	1024.0	250.0
63	biology_intros		Heart-rate-variability-is-enhanced-by-long-lasting-pleasa_2017_Biological-Ps.txt	<Intro>	998.0	256.0
64	biology_intros		Heart-rate-variability-is-enhanced-by-long-lasting-pleasa_2017_Biological-Ps.txt	<Middle>	4840.0	1309.0
65	biology_intros		Heart-rate-variability-is-enhanced-by-long-lasting-pleasa_2017_Biological-Ps.txt	<Conclusion>	1668.0	483.0
66	biology_intros		Heart-rate-variability-predicts-inhibitory-control-in-adu_2017_Biological-Ps.txt	<Intro>	1888.0	518.0
67	biology_intros		Heart-rate-variability-predicts-inhibitory-control-in-adu_2017_Biological-Ps.txt	<Middle>	5296.0	1356.0
68	biology_intros		Heart-rate-variability-predicts-inhibitory-control-in-adu_2017_Biological-Ps.txt	<Conclusion>	2298.0	632.0
69	biology_intros		Heart-rate-variability-reactivity-and-new-romance--Caus_2017_Biological-Psyc.txt	<Intro>	575.0	194.0
70	biology_intros		Heart-rate-variability-reactivity-and-new-romance--Caus_2017_Biological-Psyc.txt	<Middle>	1966.0	510.0
71	biology_intros		Heart-rate-variability-reactivity-and-new-romance--Caus_2017_Biological-Psyc.txt	<Conclusion>	822.0	247.0
72	biology_intros		Individual-differences-in-the-processing-of-smoking-cessati_2017_Biological-.txt	<Intro>	914.0	268.0
73	biology_intros		Individual-differences-in-the-processing-of-smoking-cessati_2017_Biological-.txt	<Middle>	2019.0	601.0
74	biology_intros		Individual-differences-in-the-processing-of-smoking-cessati_2017_Biological-.txt	<Conclusion>	1512.0	454.0
75	biology_intros		Interaction-between-prenatal-risk-and-infant-parasympathetic_2017_Biological.txt	<Intro>	1252.0	407.0
76	biology_intros		Interaction-between-prenatal-risk-and-infant-parasympathetic_2017_Biological.txt	<Middle>	2798.0	799.0
77	biology_intros		Interaction-between-prenatal-risk-and-infant-parasympathetic_2017_Biological.txt	<Conclusion>	1411.0	448.0
78	biology_intros		Intermittent-hypoxia-caused-cognitive-dysfunction-relat_2017_Behavioural-Bra.txt	<Intro>	325.0	98.0
79	biology_intros		Intermittent-hypoxia-caused-cognitive-dysfunction-relat_2017_Behavioural-Bra.txt	<Middle>	1805.0	539.0
80	biology_intros		Intermittent-hypoxia-caused-cognitive-dysfunction-relat_2017_Behavioural-Bra.txt	<Conclusion>	992.0	294.0
81	biology_intros		Lateral-masking-effects-on-contrast-sensitivity-_2017_Behavioural-Brain-Rese.txt	<Intro>	349.0	119.0
82	biology_intros		Lateral-masking-effects-on-contrast-sensitivity-_2017_Behavioural-Brain-Rese.txt	<Middle>	1743.0	525.0
83	biology_intros		Lateral-masking-effects-on-contrast-sensitivity-_2017_Behavioural-Brain-Rese.txt	<Conclusion>	823.0	282.0
84	biology_intros		Local-Signals-in-Mouse-Horizontal-Cell-Dendrites_2017_Current-Biology.txt	<Intro>	493.0	147.0
85	biology_intros		Local-Signals-in-Mouse-Horizontal-Cell-Dendrites_2017_Current-Biology.txt	<Middle>	2562.0	733.0
86	biology_intros		Local-Signals-in-Mouse-Horizontal-Cell-Dendrites_2017_Current-Biology.txt	<Conclusion>	1626.0	460.0
87	biology_intros		Magnetic-resonance-spectroscopy-analysis-of-neurochemical-_2017_Behavioural-.txt	<Intro>	425.0	130.0
88	biology_intros		Magnetic-resonance-spectroscopy-analysis-of-neurochemical-_2017_Behavioural-.txt	<Middle>	1473.0	435.0
89	biology_intros		Magnetic-resonance-spectroscopy-analysis-of-neurochemical-_2017_Behavioural-.txt	<Conclusion>	626.0	193.0
90	biology_intros		May-the-use-of-different-background-strains--strain--the_2017_Behavioural-Br.txt	<Intro>	646.0	177.0
91	biology_intros		May-the-use-of-different-background-strains--strain--the_2017_Behavioural-Br.txt	<Middle>	3551.0	1041.0
92	biology_intros		May-the-use-of-different-background-strains--strain--the_2017_Behavioural-Br.txt	<Conclusion>	832.0	212.0
93	biology_intros		Neocortical-prodynorphin-expression-is-transiently-increased-_2017_Behaviour.txt	<Intro>	695.0	239.0
94	biology_intros		Neocortical-prodynorphin-expression-is-transiently-increased-_2017_Behaviour.txt	<Middle>	1910.0	541.0
95	biology_intros		Neocortical-prodynorphin-expression-is-transiently-increased-_2017_Behaviour.txt	<Conclusion>	884.0	262.0
96	biology_intros		Neural-correlates-of-prosocial-behavior-towards-persons-i_2017_Biological-Ps.txt	<Intro>	820.0	230.0
97	biology_intros		Neural-correlates-of-prosocial-behavior-towards-persons-i_2017_Biological-Ps.txt	<Middle>	4194.0	1228.0
98	biology_intros		Neural-correlates-of-prosocial-behavior-towards-persons-i_2017_Biological-Ps.txt	<Conclusion>	1472.0	430.0
99	biology_intros		Neural-signals-of-selective-attention-are-modulated-by-subje_2017_Biological.txt	<Intro>	269.0	74.0
100	biology_intros		Neural-signals-of-selective-attention-are-modulated-by-subje_2017_Biological.txt	<Middle>	5384.0	1266.0
101	biology_intros		Neural-signals-of-selective-attention-are-modulated-by-subje_2017_Biological.txt	<Conclusion>	2156.0	570.0
102	biology_intros		Neuropeptide-Y-Regulates-Sleep-by-Modulating-Noradrenergic_2017_Current-Biol.txt	<Intro>	490.0	132.0
103	biology_intros		Neuropeptide-Y-Regulates-Sleep-by-Modulating-Noradrenergic_2017_Current-Biol.txt	<Middle>	3144.0	918.0
104	biology_intros		Neuropeptide-Y-Regulates-Sleep-by-Modulating-Noradrenergic_2017_Current-Biol.txt	<Conclusion>	1562.0	480.0
105	biology_intros		Nigrotectal-Stimulation-Stops-Interval-Timing-in-Mice_2017_Current-Biology.txt	<Intro>	1120.0	331.0
106	biology_intros		Nigrotectal-Stimulation-Stops-Interval-Timing-in-Mice_2017_Current-Biology.txt	<Middle>	1737.0	480.0
107	biology_intros		Nigrotectal-Stimulation-Stops-Interval-Timing-in-Mice_2017_Current-Biology.txt	<Conclusion>	1193.0	324.0
108	biology_intros		Novel-Microbial-Diversity-and-Functional-Potential-in-the-Ma_2017_Current-Bi.txt	<Intro>	454.0	110.0
109	biology_intros		Novel-Microbial-Diversity-and-Functional-Potential-in-the-Ma_2017_Current-Bi.txt	<Middle>	2616.0	726.0
110	biology_intros		Novel-Microbial-Diversity-and-Functional-Potential-in-the-Ma_2017_Current-Bi.txt	<Conclusion>	532.0	136.0
111	biology_intros		Operant-models-of-relapse-in-zebrafish--Danio-rerio---R_2017_Behavioural-Bra.txt	<Intro>	743.0	216.0
112	biology_intros		Operant-models-of-relapse-in-zebrafish--Danio-rerio---R_2017_Behavioural-Bra.txt	<Middle>	4262.0	1255.0
113	biology_intros		Operant-models-of-relapse-in-zebrafish--Danio-rerio---R_2017_Behavioural-Bra.txt	<Conclusion>	805.0	277.0
114	biology_intros		Origins-and-Specification-of-the-Drosophila-Wing_2017_Current-Biology.txt	<Intro>	968.0	279.0
115	biology_intros		Origins-and-Specification-of-the-Drosophila-Wing_2017_Current-Biology.txt	<Middle>	2834.0	745.0
116	biology_intros		Origins-and-Specification-of-the-Drosophila-Wing_2017_Current-Biology.txt	<Conclusion>	1230.0	327.0
117	biology_intros		Prefrontal-neuromodulation-reverses-spatial-associations-o_2017_Biological-P.txt	<Intro>	1901.0	510.0
118	biology_intros		Prefrontal-neuromodulation-reverses-spatial-associations-o_2017_Biological-P.txt	<Middle>	2734.0	780.0
119	biology_intros		Prefrontal-neuromodulation-reverses-spatial-associations-o_2017_Biological-P.txt	<Conclusion>	3431.0	970.0
120	biology_intros		Real-time-changes-in-corticospinal-excitability-related-_2017_Behavioural-Br.txt	<Intro>	417.0	135.0
121	biology_intros		Real-time-changes-in-corticospinal-excitability-related-_2017_Behavioural-Br.txt	<Middle>	1857.0	555.0
122	biology_intros		Real-time-changes-in-corticospinal-excitability-related-_2017_Behavioural-Br.txt	<Conclusion>	844.0	266.0
123	biology_intros		Reduced-hippocampal-IL-10-expression--altered-monoaminergic-a_2017_Behaviour.txt	<Intro>	942.0	281.0
124	biology_intros		Reduced-hippocampal-IL-10-expression--altered-monoaminergic-a_2017_Behaviour.txt	<Middle>	2869.0	758.0
125	biology_intros		Reduced-hippocampal-IL-10-expression--altered-monoaminergic-a_2017_Behaviour.txt	<Conclusion>	1825.0	534.0
126	biology_intros		Social-processing-in-early-adolescence--Associations-between_2017_Biological.txt	<Intro>	1149.0	342.0
127	biology_intros		Social-processing-in-early-adolescence--Associations-between_2017_Biological.txt	<Middle>	2106.0	604.0
128	biology_intros		Social-processing-in-early-adolescence--Associations-between_2017_Biological.txt	<Conclusion>	1304.0	392.0
129	biology_intros		Stall-in-Canonical-Autophagy-Lysosome-Pathways-Prompts-Nucleop_2017_Current-.txt	<Intro>	368.0	107.0
130	biology_intros		Stall-in-Canonical-Autophagy-Lysosome-Pathways-Prompts-Nucleop_2017_Current-.txt	<Middle>	3082.0	811.0
131	biology_intros		Stall-in-Canonical-Autophagy-Lysosome-Pathways-Prompts-Nucleop_2017_Current-.txt	<Conclusion>	1552.0	455.0
132	biology_intros		Structural-hemispheric-asymmetries-underlie-verbal-_2017_Behavioural-Brain-R.txt	<Intro>	872.0	215.0
133	biology_intros		Structural-hemispheric-asymmetries-underlie-verbal-_2017_Behavioural-Brain-R.txt	<Middle>	3038.0	731.0
134	biology_intros		Structural-hemispheric-asymmetries-underlie-verbal-_2017_Behavioural-Brain-R.txt	<Conclusion>	1303.0	321.0
135	biology_intros		TDP-43-Promotes-Neurodegeneration-by-Impairing-Chromatin-R_2017_Current-Biol.txt	<Intro>	426.0	137.0
136	biology_intros		TDP-43-Promotes-Neurodegeneration-by-Impairing-Chromatin-R_2017_Current-Biol.txt	<Middle>	3148.0	927.0
137	biology_intros		TDP-43-Promotes-Neurodegeneration-by-Impairing-Chromatin-R_2017_Current-Biol.txt	<Conclusion>	766.0	225.0
138	biology_intros		Temporal-dynamics-of-reward-anticipation-in-the-huma_2017_Biological-Psychol.txt	<Intro>	1433.0	404.0
139	biology_intros		Temporal-dynamics-of-reward-anticipation-in-the-huma_2017_Biological-Psychol.txt	<Middle>	2864.0	748.0
140	biology_intros		Temporal-dynamics-of-reward-anticipation-in-the-huma_2017_Biological-Psychol.txt	<Conclusion>	1596.0	495.0
141	biology_intros		Tension-Dependent-Stretching-Activates-ZO-1-to-Control-the-Ju_2017_Current-B.txt	<Intro>	400.0	126.0
142	biology_intros		Tension-Dependent-Stretching-Activates-ZO-1-to-Control-the-Ju_2017_Current-B.txt	<Middle>	3142.0	831.0
143	biology_intros		Tension-Dependent-Stretching-Activates-ZO-1-to-Control-the-Ju_2017_Current-B.txt	<Conclusion>	1407.0	379.0
144	biology_intros		The-Plastid-Genome-in-Cladophorales-Green-Algae-Is-Encoded-b_2017_Current-Bi.txt	<Intro>	462.0	137.0
145	biology_intros		The-Plastid-Genome-in-Cladophorales-Green-Algae-Is-Encoded-b_2017_Current-Bi.txt	<Middle>	2860.0	839.0
146	biology_intros		The-Plastid-Genome-in-Cladophorales-Green-Algae-Is-Encoded-b_2017_Current-Bi.txt	<Conclusion>	283.0	85.0
147	biology_intros		The-rat-retrosplenial-cortex-as-a-link-for-frontal-fu_2017_Behavioural-Brain.txt	<Intro>	629.0	169.0
148	biology_intros		The-rat-retrosplenial-cortex-as-a-link-for-frontal-fu_2017_Behavioural-Brain.txt	<Middle>	8729.0	2271.0
149	biology_intros		The-rat-retrosplenial-cortex-as-a-link-for-frontal-fu_2017_Behavioural-Brain.txt	<Conclusion>	1961.0	532.0
150	biology_intros		The-trait--pessimism--does-not-interact-with-cognitive-flexibi_2017_Behaviou.txt	<Intro>	785.0	224.0
151	biology_intros		The-trait--pessimism--does-not-interact-with-cognitive-flexibi_2017_Behaviou.txt	<Middle>	2666.0	789.0
152	biology_intros		The-trait--pessimism--does-not-interact-with-cognitive-flexibi_2017_Behaviou.txt	<Conclusion>	1767.0	489.0
153	biology_intros		Theta-Oscillations-in-the-Human-Medial-Temporal-Lobe-during-_2017_Current-Bi.txt	<Intro>	380.0	108.0
154	biology_intros		Theta-Oscillations-in-the-Human-Medial-Temporal-Lobe-during-_2017_Current-Bi.txt	<Middle>	2093.0	601.0
155	biology_intros		Theta-Oscillations-in-the-Human-Medial-Temporal-Lobe-during-_2017_Current-Bi.txt	<Conclusion>	958.0	290.0
156	biology_intros		Vagus-Motor-Neuron-Topographic-Map-Determined-by-Parallel-Mech_2017_Current-.txt	<Intro>	562.0	177.0
157	biology_intros		Vagus-Motor-Neuron-Topographic-Map-Determined-by-Parallel-Mech_2017_Current-.txt	<Middle>	2870.0	743.0
158	biology_intros		Vagus-Motor-Neuron-Topographic-Map-Determined-by-Parallel-Mech_2017_Current-.txt	<Conclusion>	987.0	298.0
159	biology_intros		Venlafaxine-exerts-antidepressant-effects-possibly-by-acti_2017_Behavioural-.txt	<Intro>	463.0	147.0
160	biology_intros		Venlafaxine-exerts-antidepressant-effects-possibly-by-acti_2017_Behavioural-.txt	<Middle>	1656.0	492.0
161	biology_intros		Venlafaxine-exerts-antidepressant-effects-possibly-by-acti_2017_Behavioural-.txt	<Conclusion>	1695.0	550.0


Gene-by-cognition-interaction-on-stress-induced-attention-bi_2017_Biological is deleted fromthe summarized table. maybbe run again
