	Subcorpus	Type of Article	Article	Teil	WordsN	NounsN
25	economics_intros		Common-auditors-in-M-amp-A-transactio_2016_Journal-of-Accounting-and-Economi.txt	<Middle>	6493.0	1898.0
26	economics_intros		Common-auditors-in-M-amp-A-transactio_2016_Journal-of-Accounting-and-Economi.txt	<Conclusion>	449.0	140.0
27	economics_intros		Competition-for-talent-under-performance-ma_2017_Journal-of-Accounting-and-E.txt	<Intro>	2636.0	752.0
28	economics_intros		Competition-for-talent-under-performance-ma_2017_Journal-of-Accounting-and-E.txt	<Middle>	6589.0	1611.0
29	economics_intros		Competition-for-talent-under-performance-ma_2017_Journal-of-Accounting-and-E.txt	<Conclusion>	298.0	88.0
30	economics_intros		Conditionally-conservative-fair-value-meas_2017_Journal-of-Accounting-and-Ec.txt	<Intro>	2531.0	787.0
31	economics_intros		Conditionally-conservative-fair-value-meas_2017_Journal-of-Accounting-and-Ec.txt	<Middle>	8231.0	2224.0
32	economics_intros		Conditionally-conservative-fair-value-meas_2017_Journal-of-Accounting-and-Ec.txt	<Conclusion>	705.0	227.0
33	economics_intros		Cournot-competition-and--green--innovation--An-inverted-U_2017_Energy-Econom.txt	<Intro>	1124.0	334.0
34	economics_intros		Cournot-competition-and--green--innovation--An-inverted-U_2017_Energy-Econom.txt	<Middle>	2541.0	676.0
35	economics_intros		Cournot-competition-and--green--innovation--An-inverted-U_2017_Energy-Econom.txt	<Conclusion>	153.0	50.0
36	economics_intros		Cross-constrained-Measuring-the-Cost-environment-Efficiency_2017_Ecological-.txt	<Intro>	924.0	269.0
37	economics_intros		Cross-constrained-Measuring-the-Cost-environment-Efficiency_2017_Ecological-.txt	<Middle>	5447.0	1561.0
38	economics_intros		Cross-constrained-Measuring-the-Cost-environment-Efficiency_2017_Ecological-.txt	<Conclusion>	1280.0	412.0
39	economics_intros		Customer-concentration-risk-and-the-cost-of-_2016_Journal-of-Accounting-and-.txt	<Intro>	1803.0	542.0
40	economics_intros		Customer-concentration-risk-and-the-cost-of-_2016_Journal-of-Accounting-and-.txt	<Middle>	8163.0	2489.0
41	economics_intros		Customer-concentration-risk-and-the-cost-of-_2016_Journal-of-Accounting-and-.txt	<Conclusion>	267.0	81.0
42	economics_intros		Dealing-with--Baggage--in-Riparian-Relationship-on-Water-Allo_2017_Ecologica.txt	<Intro>	2236.0	630.0
43	economics_intros		Dealing-with--Baggage--in-Riparian-Relationship-on-Water-Allo_2017_Ecologica.txt	<Middle>	639.0	175.0
44	economics_intros		Dealing-with--Baggage--in-Riparian-Relationship-on-Water-Allo_2017_Ecologica.txt	<Conclusion>	4268.0	1194.0
45	economics_intros		Directional-predictability-from-oil-market-uncertainty-to-soverei_2017_Energ.txt	<Intro>	1890.0	596.0
46	economics_intros		Directional-predictability-from-oil-market-uncertainty-to-soverei_2017_Energ.txt	<Middle>	1381.0	375.0
47	economics_intros		Directional-predictability-from-oil-market-uncertainty-to-soverei_2017_Energ.txt	<Conclusion>	3141.0	916.0
48	economics_intros		Director-networks-and-informed-trader_2016_Journal-of-Accounting-and-Economi.txt	<Intro>	925.0	319.0
49	economics_intros		Director-networks-and-informed-trader_2016_Journal-of-Accounting-and-Economi.txt	<Middle>	7720.0	2322.0
50	economics_intros		Director-networks-and-informed-trader_2016_Journal-of-Accounting-and-Economi.txt	<Conclusion>	431.0	140.0
51	economics_intros		Directors--and-officers--liability-insurance-a_2016_Journal-of-Accounting-an.txt	<Intro>	2329.0	780.0
52	economics_intros		Directors--and-officers--liability-insurance-a_2016_Journal-of-Accounting-an.txt	<Middle>	6852.0	2185.0
53	economics_intros		Directors--and-officers--liability-insurance-a_2016_Journal-of-Accounting-an.txt	<Conclusion>	304.0	106.0
54	economics_intros		Do-information-releases-increase-or-decrease-informati_2016_Journal-of-Accou.txt	<Intro>	2474.0	834.0
55	economics_intros		Do-information-releases-increase-or-decrease-informati_2016_Journal-of-Accou.txt	<Middle>	4492.0	1440.0
56	economics_intros		Do-information-releases-increase-or-decrease-informati_2016_Journal-of-Accou.txt	<Conclusion>	394.0	147.0
57	economics_intros		Does-a-common-set-of-accounting-standards-affect-tax-_2016_Journal-of-Accoun.txt	<Intro>	3034.0	1009.0
58	economics_intros		Does-a-common-set-of-accounting-standards-affect-tax-_2016_Journal-of-Accoun.txt	<Middle>	5923.0	1914.0
59	economics_intros		Does-a-common-set-of-accounting-standards-affect-tax-_2016_Journal-of-Accoun.txt	<Conclusion>	604.0	214.0
60	economics_intros		Does-carbon-intensity-constraint-policy-improve-industrial-gre_2017_Energy-E.txt	<Intro>	2375.0	706.0
61	economics_intros		Does-carbon-intensity-constraint-policy-improve-industrial-gre_2017_Energy-E.txt	<Middle>	2322.0	691.0
62	economics_intros		Does-carbon-intensity-constraint-policy-improve-industrial-gre_2017_Energy-E.txt	<Conclusion>	3566.0	1079.0
63	economics_intros		Does-managerial-sentiment-affect-accrual-estimates_2017_Journal-of-Accountin.txt	<Intro>	4203.0	1393.0
64	economics_intros		Does-managerial-sentiment-affect-accrual-estimates_2017_Journal-of-Accountin.txt	<Middle>	6195.0	1794.0
65	economics_intros		Does-managerial-sentiment-affect-accrual-estimates_2017_Journal-of-Accountin.txt	<Conclusion>	476.0	160.0
66	economics_intros		Does-purchase-price-matter-for-the-waiting-time-to-start-using-_2017_Energy-.txt	<Intro>	955.0	255.0
67	economics_intros		Does-purchase-price-matter-for-the-waiting-time-to-start-using-_2017_Energy-.txt	<Middle>	4909.0	1336.0
68	economics_intros		Does-purchase-price-matter-for-the-waiting-time-to-start-using-_2017_Energy-.txt	<Conclusion>	857.0	254.0
69	economics_intros		Does-the-PCAOB-international-inspection-program-impro_2017_Journal-of-Accoun.txt	<Intro>	3469.0	1088.0
70	economics_intros		Does-the-PCAOB-international-inspection-program-impro_2017_Journal-of-Accoun.txt	<Middle>	6541.0	1848.0
71	economics_intros		Does-the-PCAOB-international-inspection-program-impro_2017_Journal-of-Accoun.txt	<Conclusion>	307.0	94.0
72	economics_intros		Does-the-volatility-of-commodity-prices-reflect-macroecono_2017_Energy-Econo.txt	<Intro>	3318.0	1018.0
73	economics_intros		Does-the-volatility-of-commodity-prices-reflect-macroecono_2017_Energy-Econo.txt	<Middle>	8256.0	2537.0
74	economics_intros		Does-the-volatility-of-commodity-prices-reflect-macroecono_2017_Energy-Econo.txt	<Conclusion>	184.0	58.0
75	economics_intros		Does-U-S--foreign-earnings-lockout-advantage-f_2017_Journal-of-Accounting-an.txt	<Intro>	2894.0	814.0
76	economics_intros		Does-U-S--foreign-earnings-lockout-advantage-f_2017_Journal-of-Accounting-an.txt	<Middle>	5935.0	1699.0
77	economics_intros		Does-U-S--foreign-earnings-lockout-advantage-f_2017_Journal-of-Accounting-an.txt	<Conclusion>	509.0	145.0
78	economics_intros		Dynamic-return-volatility-dependence-and-risk-measure-of-CoVaR_2017_Energy-E.txt	<Intro>	798.0	270.0
79	economics_intros		Dynamic-return-volatility-dependence-and-risk-measure-of-CoVaR_2017_Energy-E.txt	<Middle>	4583.0	1347.0
80	economics_intros		Dynamic-return-volatility-dependence-and-risk-measure-of-CoVaR_2017_Energy-E.txt	<Conclusion>	376.0	127.0
81	economics_intros		Earnings-expectations-and-employee-saf_2017_Journal-of-Accounting-and-Econom.txt	<Intro>	2702.0	855.0
82	economics_intros		Earnings-expectations-and-employee-saf_2017_Journal-of-Accounting-and-Econom.txt	<Middle>	4937.0	1558.0
83	economics_intros		Earnings-expectations-and-employee-saf_2017_Journal-of-Accounting-and-Econom.txt	<Conclusion>	288.0	95.0
84	economics_intros		Earnings-management-and-annual-report-rea_2017_Journal-of-Accounting-and-Eco.txt	<Intro>	3480.0	977.0
85	economics_intros		Earnings-management-and-annual-report-rea_2017_Journal-of-Accounting-and-Eco.txt	<Middle>	4901.0	1251.0
86	economics_intros		Earnings-management-and-annual-report-rea_2017_Journal-of-Accounting-and-Eco.txt	<Conclusion>	462.0	119.0
87	economics_intros		Economic-externalities-in-transmission-network-expansion-_2017_Energy-Econom.txt	<Intro>	1411.0	415.0
88	economics_intros		Economic-externalities-in-transmission-network-expansion-_2017_Energy-Econom.txt	<Middle>	1703.0	510.0
89	economics_intros		Economic-externalities-in-transmission-network-expansion-_2017_Energy-Econom.txt	<Conclusion>	220.0	81.0
90	economics_intros		Economy-wide-effects-of-international-and-Russia-s-climat_2017_Energy-Econom.txt	<Intro>	784.0	238.0
91	economics_intros		Economy-wide-effects-of-international-and-Russia-s-climat_2017_Energy-Econom.txt	<Middle>	2014.0	640.0
92	economics_intros		Economy-wide-effects-of-international-and-Russia-s-climat_2017_Energy-Econom.txt	<Conclusion>	3608.0	1234.0
93	economics_intros		Employee-quality-and-financial-reporting-_2017_Journal-of-Accounting-and-Eco.txt	<Intro>	3023.0	869.0
94	economics_intros		Employee-quality-and-financial-reporting-_2017_Journal-of-Accounting-and-Eco.txt	<Middle>	6313.0	1673.0
95	economics_intros		Employee-quality-and-financial-reporting-_2017_Journal-of-Accounting-and-Eco.txt	<Conclusion>	171.0	57.0
96	economics_intros		Energy-Metabolism-of-28-World-Countries--A-Multi-scale-I_2017_Ecological-Eco.txt	<Intro>	1054.0	293.0
97	economics_intros		Energy-Metabolism-of-28-World-Countries--A-Multi-scale-I_2017_Ecological-Eco.txt	<Middle>	3644.0	924.0
98	economics_intros		Energy-Metabolism-of-28-World-Countries--A-Multi-scale-I_2017_Ecological-Eco.txt	<Conclusion>	958.0	249.0
99	economics_intros		Finding-environmentally-critical-transmission-sectors--transac_2017_Energy-E.txt	<Intro>	2368.0	715.0
100	economics_intros		Finding-environmentally-critical-transmission-sectors--transac_2017_Energy-E.txt	<Middle>	2170.0	574.0
101	economics_intros		Finding-environmentally-critical-transmission-sectors--transac_2017_Energy-E.txt	<Conclusion>	323.0	82.0
102	economics_intros		Further-evidence-on-the-strategic-timing-of-earnings-_2016_Journal-of-Accoun.txt	<Intro>	2219.0	673.0
103	economics_intros		Further-evidence-on-the-strategic-timing-of-earnings-_2016_Journal-of-Accoun.txt	<Middle>	7352.0	2185.0
104	economics_intros		Further-evidence-on-the-strategic-timing-of-earnings-_2016_Journal-of-Accoun.txt	<Conclusion>	248.0	78.0
105	economics_intros		Gasoline-price-and-new-vehicle-fuel-efficiency--Evidence-_2017_Energy-Econom.txt	<Intro>	1767.0	576.0
106	economics_intros		Gasoline-price-and-new-vehicle-fuel-efficiency--Evidence-_2017_Energy-Econom.txt	<Middle>	4855.0	1559.0
107	economics_intros		Gasoline-price-and-new-vehicle-fuel-efficiency--Evidence-_2017_Energy-Econom.txt	<Conclusion>	372.0	140.0
108	economics_intros		Genuine-Progress-Indicator-2-0--Pilot-Accounts-for-the-US--_2017_Ecological-.txt	<Intro>	2901.0	791.0
109	economics_intros		Genuine-Progress-Indicator-2-0--Pilot-Accounts-for-the-US--_2017_Ecological-.txt	<Middle>	3799.0	1125.0
110	economics_intros		Genuine-Progress-Indicator-2-0--Pilot-Accounts-for-the-US--_2017_Ecological-.txt	<Conclusion>	1518.0	433.0
111	economics_intros		Getting-more--carbon-bang--for-your--buck--in-Acre-Sta_2017_Ecological-Econo.txt	<Intro>	1724.0	478.0
112	economics_intros		Getting-more--carbon-bang--for-your--buck--in-Acre-Sta_2017_Ecological-Econo.txt	<Middle>	3568.0	1043.0
113	economics_intros		Getting-more--carbon-bang--for-your--buck--in-Acre-Sta_2017_Ecological-Econo.txt	<Conclusion>	1666.0	482.0
114	economics_intros		Gold-Mining-Pollution-and-the-Cost-of-Private-Healthcare_2017_Ecological-Eco.txt	<Intro>	1377.0	419.0
115	economics_intros		Gold-Mining-Pollution-and-the-Cost-of-Private-Healthcare_2017_Ecological-Eco.txt	<Middle>	3288.0	969.0
116	economics_intros		Gold-Mining-Pollution-and-the-Cost-of-Private-Healthcare_2017_Ecological-Eco.txt	<Conclusion>	418.0	149.0
117	economics_intros		Hedging-local-volume-risk-using-forward-markets--Nordic-_2017_Energy-Economi.txt	<Intro>	1733.0	584.0
118	economics_intros		Hedging-local-volume-risk-using-forward-markets--Nordic-_2017_Energy-Economi.txt	<Middle>	4792.0	1366.0
119	economics_intros		Hedging-local-volume-risk-using-forward-markets--Nordic-_2017_Energy-Economi.txt	<Conclusion>	919.0	288.0
120	economics_intros		Human-capital-and-energy-in-economic-growth---Evidence-from_2017_Energy-Econ.txt	<Intro>	1892.0	576.0
121	economics_intros		Human-capital-and-energy-in-economic-growth---Evidence-from_2017_Energy-Econ.txt	<Middle>	7828.0	2299.0
122	economics_intros		Human-capital-and-energy-in-economic-growth---Evidence-from_2017_Energy-Econ.txt	<Conclusion>	772.0	246.0
123	economics_intros		Identifying-the-driving-forces-of-national-and-regional-CO2-emi_2017_Energy-.txt	<Intro>	1222.0	372.0
124	economics_intros		Identifying-the-driving-forces-of-national-and-regional-CO2-emi_2017_Energy-.txt	<Middle>	7242.0	1965.0
125	economics_intros		Identifying-the-driving-forces-of-national-and-regional-CO2-emi_2017_Energy-.txt	<Conclusion>	1826.0	598.0
126	economics_intros		Influential-factors-in-crude-oil-price-forecasting_2017_Energy-Economics.txt	<Intro>	1362.0	452.0
127	economics_intros		Influential-factors-in-crude-oil-price-forecasting_2017_Energy-Economics.txt	<Middle>	4576.0	1392.0
128	economics_intros		Influential-factors-in-crude-oil-price-forecasting_2017_Energy-Economics.txt	<Conclusion>	413.0	130.0
129	economics_intros		Information-strategies-for-energy-conservation--A-field-ex_2017_Energy-Econo.txt	<Intro>	2632.0	812.0
130	economics_intros		Information-strategies-for-energy-conservation--A-field-ex_2017_Energy-Econo.txt	<Middle>	4897.0	1454.0
131	economics_intros		Information-strategies-for-energy-conservation--A-field-ex_2017_Energy-Econo.txt	<Conclusion>	1360.0	404.0
132	economics_intros		Inside-the-Emerald-Triangle--Modeling-the-Placement-and-Size_2017_Ecological.txt	<Intro>	546.0	172.0
133	economics_intros		Inside-the-Emerald-Triangle--Modeling-the-Placement-and-Size_2017_Ecological.txt	<Middle>	4217.0	1298.0
134	economics_intros		Inside-the-Emerald-Triangle--Modeling-the-Placement-and-Size_2017_Ecological.txt	<Conclusion>	1719.0	555.0
135	economics_intros		Is-the-SEC-captured--Evidence-from-comment-l_2017_Journal-of-Accounting-and-.txt	<Intro>	3427.0	923.0
136	economics_intros		Is-the-SEC-captured--Evidence-from-comment-l_2017_Journal-of-Accounting-and-.txt	<Middle>	4056.0	1083.0
137	economics_intros		Is-the-SEC-captured--Evidence-from-comment-l_2017_Journal-of-Accounting-and-.txt	<Conclusion>	231.0	61.0
138	economics_intros		Labor-unemployment-insurance-and-earnings-_2016_Journal-of-Accounting-and-Ec.txt	<Intro>	2898.0	974.0
139	economics_intros		Labor-unemployment-insurance-and-earnings-_2016_Journal-of-Accounting-and-Ec.txt	<Middle>	3892.0	1161.0
140	economics_intros		Labor-unemployment-insurance-and-earnings-_2016_Journal-of-Accounting-and-Ec.txt	<Conclusion>	547.0	199.0
141	economics_intros		Managers--green-investment-disclosures-and-in_2016_Journal-of-Accounting-and.txt	<Intro>	2269.0	630.0
142	economics_intros		Managers--green-investment-disclosures-and-in_2016_Journal-of-Accounting-and.txt	<Middle>	5894.0	1499.0
143	economics_intros		Managers--green-investment-disclosures-and-in_2016_Journal-of-Accounting-and.txt	<Conclusion>	872.0	245.0
144	economics_intros		Managing-the-Risks-of-Sea-Lice-Transmission-Between-Salmon-_2017_Ecological-.txt	<Intro>	879.0	293.0
145	economics_intros		Managing-the-Risks-of-Sea-Lice-Transmission-Between-Salmon-_2017_Ecological-.txt	<Middle>	4789.0	1411.0
146	economics_intros		Managing-the-Risks-of-Sea-Lice-Transmission-Between-Salmon-_2017_Ecological-.txt	<Conclusion>	1019.0	339.0
147	economics_intros		Move-it--How-an-electric-contest-motivates-households-to-sh_2017_Energy-Econ.txt	<Intro>	1332.0	382.0
148	economics_intros		Move-it--How-an-electric-contest-motivates-households-to-sh_2017_Energy-Econ.txt	<Middle>	5354.0	1439.0
149	economics_intros		Move-it--How-an-electric-contest-motivates-households-to-sh_2017_Energy-Econ.txt	<Conclusion>	960.0	278.0
150	economics_intros		Multinational-operation--ownership-and-efficiency-difference_2017_Energy-Eco.txt	<Intro>	1713.0	511.0
151	economics_intros		Multinational-operation--ownership-and-efficiency-difference_2017_Energy-Eco.txt	<Middle>	3064.0	870.0
152	economics_intros		Multinational-operation--ownership-and-efficiency-difference_2017_Energy-Eco.txt	<Conclusion>	2437.0	755.0
153	economics_intros		Oil-and-stock-market-momentum_2017_Energy-Economics.txt	<Intro>	1520.0	525.0
154	economics_intros		Oil-and-stock-market-momentum_2017_Energy-Economics.txt	<Middle>	3719.0	1248.0
155	economics_intros		Oil-and-stock-market-momentum_2017_Energy-Economics.txt	<Conclusion>	501.0	188.0
156	economics_intros		Oil-consumption-subsidy-removal-in-OPEC-and-other-Non-OECD-co_2017_Energy-Ec.txt	<Intro>	1532.0	515.0
157	economics_intros		Oil-consumption-subsidy-removal-in-OPEC-and-other-Non-OECD-co_2017_Energy-Ec.txt	<Middle>	4336.0	1464.0
158	economics_intros		Oil-consumption-subsidy-removal-in-OPEC-and-other-Non-OECD-co_2017_Energy-Ec.txt	<Conclusion>	312.0	101.0
159	economics_intros		Oil-price-shocks--economic-policy-uncertainty-and-industry-stoc_2017_Energy-.txt	<Intro>	2495.0	784.0
160	economics_intros		Oil-price-shocks--economic-policy-uncertainty-and-industry-stoc_2017_Energy-.txt	<Middle>	5603.0	1647.0
161	economics_intros		Oil-price-shocks--economic-policy-uncertainty-and-industry-stoc_2017_Energy-.txt	<Conclusion>	585.0	204.0
162	economics_intros		Oil-volatility-risk-and-stock-market-volatility-predictabili_2017_Energy-Eco.txt	<Intro>	1898.0	630.0
163	economics_intros		Oil-volatility-risk-and-stock-market-volatility-predictabili_2017_Energy-Eco.txt	<Middle>	6381.0	1916.0
164	economics_intros		Oil-volatility-risk-and-stock-market-volatility-predictabili_2017_Energy-Eco.txt	<Conclusion>	201.0	68.0
165	economics_intros		On-quota-violations-of-OPEC-members_2017_Energy-Economics.txt	<Intro>	6057.0	1770.0
166	economics_intros		On-quota-violations-of-OPEC-members_2017_Energy-Economics.txt	<Middle>	2651.0	750.0
167	economics_intros		On-quota-violations-of-OPEC-members_2017_Energy-Economics.txt	<Conclusion>	418.0	133.0
168	economics_intros		On-the-persistence-and-pricing-of-industry-wide-and-_2016_Journal-of-Account.txt	<Intro>	1567.0	493.0
169	economics_intros		On-the-persistence-and-pricing-of-industry-wide-and-_2016_Journal-of-Account.txt	<Middle>	5588.0	1541.0
170	economics_intros		On-the-persistence-and-pricing-of-industry-wide-and-_2016_Journal-of-Account.txt	<Conclusion>	468.0	148.0
171	economics_intros		Perverse-incentives-of-special-purpose-acquisition-c_2017_Journal-of-Account.txt	<Intro>	2488.0	713.0
172	economics_intros		Perverse-incentives-of-special-purpose-acquisition-c_2017_Journal-of-Account.txt	<Middle>	6893.0	1957.0
173	economics_intros		Perverse-incentives-of-special-purpose-acquisition-c_2017_Journal-of-Account.txt	<Conclusion>	301.0	96.0
174	economics_intros		Political-connections-and-corporate-environmental-responsibi_2017_Energy-Eco.txt	<Intro>	1895.0	563.0
175	economics_intros		Political-connections-and-corporate-environmental-responsibi_2017_Energy-Eco.txt	<Middle>	3597.0	1016.0
176	economics_intros		Political-connections-and-corporate-environmental-responsibi_2017_Energy-Eco.txt	<Conclusion>	573.0	169.0
177	economics_intros		Private-lenders--demand-for-audit_2017_Journal-of-Accounting-and-Economics.txt	<Intro>	4057.0	1298.0
178	economics_intros		Private-lenders--demand-for-audit_2017_Journal-of-Accounting-and-Economics.txt	<Middle>	3140.0	898.0
179	economics_intros		Private-lenders--demand-for-audit_2017_Journal-of-Accounting-and-Economics.txt	<Conclusion>	666.0	214.0
180	economics_intros		QUAL How-We-Come-to-Value-Nature----A-Pragmatist-Perspect_2017_Ecological-Economi.txt	<Intro>	1310.0	406.0
181	economics_intros		QUAL How-We-Come-to-Value-Nature----A-Pragmatist-Perspect_2017_Ecological-Economi.txt	<Middle>	4719.0	1266.0
182	economics_intros		QUAL How-We-Come-to-Value-Nature----A-Pragmatist-Perspect_2017_Ecological-Economi.txt	<Conclusion>	826.0	241.0
183	economics_intros		Real-effects-of-the-audit-choice_2016_Journal-of-Accounting-and-Economics.txt	<Intro>	3161.0	888.0
184	economics_intros		Real-effects-of-the-audit-choice_2016_Journal-of-Accounting-and-Economics.txt	<Middle>	7735.0	2375.0
185	economics_intros		Real-effects-of-the-audit-choice_2016_Journal-of-Accounting-and-Economics.txt	<Conclusion>	470.0	145.0
186	economics_intros		Risk-minimisation-in-electricity-markets--Fixed-price--unk_2017_Energy-Econo.txt	<Intro>	870.0	265.0
187	economics_intros		Risk-minimisation-in-electricity-markets--Fixed-price--unk_2017_Energy-Econo.txt	<Middle>	6808.0	1728.0
188	economics_intros		Risk-minimisation-in-electricity-markets--Fixed-price--unk_2017_Energy-Econo.txt	<Conclusion>	685.0	190.0
189	economics_intros		Robust-bidding-and-offering-strategies-of-electricity-retail_2017_Energy-Eco.txt	<Intro>	1231.0	377.0
190	economics_intros		Robust-bidding-and-offering-strategies-of-electricity-retail_2017_Energy-Eco.txt	<Middle>	2559.0	807.0
191	economics_intros		Robust-bidding-and-offering-strategies-of-electricity-retail_2017_Energy-Eco.txt	<Conclusion>	214.0	81.0
192	economics_intros		Shared-auditors-in-mergers-and-acquisit_2016_Journal-of-Accounting-and-Econo.txt	<Intro>	3420.0	1169.0
193	economics_intros		Shared-auditors-in-mergers-and-acquisit_2016_Journal-of-Accounting-and-Econo.txt	<Middle>	7025.0	2069.0
194	economics_intros		Shared-auditors-in-mergers-and-acquisit_2016_Journal-of-Accounting-and-Econo.txt	<Conclusion>	223.0	88.0
195	economics_intros		Simulation-of-price-controls-for-different-grade-of-gasolin_2017_Energy-Econ.txt	<Intro>	1297.0	368.0
196	economics_intros		Simulation-of-price-controls-for-different-grade-of-gasolin_2017_Energy-Econ.txt	<Middle>	3919.0	1156.0
197	economics_intros		Simulation-of-price-controls-for-different-grade-of-gasolin_2017_Energy-Econ.txt	<Conclusion>	768.0	217.0
198	economics_intros		Socioeconomic-burden-of-air-pollution-in-China--Province-leve_2017_Energy-Ec.txt	<Intro>	1272.0	341.0
199	economics_intros		Socioeconomic-burden-of-air-pollution-in-China--Province-leve_2017_Energy-Ec.txt	<Middle>	1775.0	567.0
200	economics_intros		Socioeconomic-burden-of-air-pollution-in-China--Province-leve_2017_Energy-Ec.txt	<Conclusion>	1671.0	461.0
201	economics_intros		Spatial-analysis-of-emissions-in-Sweden_2017_Energy-Economics.txt	<Intro>	1767.0	509.0
202	economics_intros		Spatial-analysis-of-emissions-in-Sweden_2017_Energy-Economics.txt	<Middle>	4090.0	1142.0
203	economics_intros		Spatial-analysis-of-emissions-in-Sweden_2017_Energy-Economics.txt	<Conclusion>	686.0	213.0
204	economics_intros		Sustainable-Seafood-From-Aquaculture-and-Wild-Fisheries--Ins_2017_Ecological.txt	<Intro>	1795.0	481.0
205	economics_intros		Sustainable-Seafood-From-Aquaculture-and-Wild-Fisheries--Ins_2017_Ecological.txt	<Middle>	1613.0	438.0
206	economics_intros		Sustainable-Seafood-From-Aquaculture-and-Wild-Fisheries--Ins_2017_Ecological.txt	<Conclusion>	618.0	168.0
207	economics_intros		Takeover-defenses--Entrenchment-and-effi_2017_Journal-of-Accounting-and-Econ.txt	<Intro>	2512.0	730.0
208	economics_intros		Takeover-defenses--Entrenchment-and-effi_2017_Journal-of-Accounting-and-Econ.txt	<Middle>	5863.0	1640.0
209	economics_intros		Takeover-defenses--Entrenchment-and-effi_2017_Journal-of-Accounting-and-Econ.txt	<Conclusion>	189.0	63.0
210	economics_intros		The-activities-of-buy-side-analysts-and-the-determ_2016_Journal-of-Accountin.txt	<Intro>	840.0	259.0
211	economics_intros		The-activities-of-buy-side-analysts-and-the-determ_2016_Journal-of-Accountin.txt	<Middle>	7894.0	2118.0
212	economics_intros		The-activities-of-buy-side-analysts-and-the-determ_2016_Journal-of-Accountin.txt	<Conclusion>	543.0	180.0
213	economics_intros		The-bright-side-of-managerial-over-opti_2016_Journal-of-Accounting-and-Econo.txt	<Intro>	1812.0	495.0
214	economics_intros		The-bright-side-of-managerial-over-opti_2016_Journal-of-Accounting-and-Econo.txt	<Middle>	6549.0	1815.0
215	economics_intros		The-bright-side-of-managerial-over-opti_2016_Journal-of-Accounting-and-Econo.txt	<Conclusion>	252.0	70.0
